caseid,weight,vote2020,biden_winner,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,educ7,hispanic,ethnicity,votereg,wave
204582319,0.438173853127808,I am sure I voted,Definitely the rightful winner,Joe Biden,1957,63,55 - 64,Male,Married,Full-time,"$60,000 - $69,999",Independent,Lean Democrat,Hillary Clinton,20166,Virginia,Professional or doctorate degree,No,Black or African American,Yes,14
150031798,0.784551128504098,I did not vote in the election this November,Probably the rightful winner,NA,1993,27,25 - 34,Female,Married,Homemaker,"$30,000 - $39,999",Independent,Independent,Did not vote for President,54201,Wisconsin,High school diploma or the equivalent (GED),No,White,No,14
198843523,0.738364006221512,I am sure I voted,Definitely the rightful winner,Joe Biden,1994,26,25 - 34,Female,Domestic / civil partnership,Other,Prefer not to say,Democrat,Strong Democrat,Did not vote for President,33823,Florida,High school diploma or the equivalent (GED),No,White,Yes,14
59595313,0.899573945463115,I am sure I voted,Probably the rightful winner,Joe Biden,1951,69,65 - 74,Male,Married,Retired,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,89147,Nevada,Did not graduate from high school,No,White,Yes,14
312843838,0.857010221777445,I am sure I voted,Definitely the rightful winner,Joe Biden,1994,26,25 - 34,Male,Never married,Full-time,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,55306,Minnesota,Bachelor's degree,No,White,Yes,14
140883541,0.803040038184386,I did not vote in the election this November,Probably the rightful winner,NA,1968,52,45 - 54,Male,Never married,Unemployed,"Less than $10,000",Independent,Independent,Did not vote for President,43452,Ohio,Did not graduate from high school,No,White,Yes,14
35144917,0.620512264881574,I am sure I voted,Definitely not the rightful winner,Donald Trump,1984,36,35 - 44,Female,Never married,Other,"$70,000 - $79,999",Independent,Lean Republican,Donald Trump,92570,California,Associate's degree,Yes,Hispanic/Latino/Chicano/a,Yes,14
205443109,0.77107068089363,I am sure I voted,Definitely the rightful winner,Joe Biden,1979,41,35 - 44,Male,Never married,Full-time,"Less than $10,000",Democrat,Strong Democrat,Hillary Clinton,55437,Minnesota,Associate's degree,No,White,Yes,14
195865522,1.50680583059354,I did not vote in the election this November,Probably the rightful winner,NA,1998,22,18 - 24,Male,Never married,Full-time,"$20,000 - $29,999",Independent,Lean Democrat,Did not vote for President,38967,Mississippi,High school diploma or the equivalent (GED),No,Black or African American,Yes,14
50973028,1.47112386731172,I am sure I voted,Definitely not the rightful winner,Donald Trump,1959,61,55 - 64,Male,Divorced,Full-time,"$30,000 - $39,999",Independent,Lean Republican,Donald Trump,26003,West Virginia,Some college,No,White,Yes,14
180978121,0.592560157498093,I am sure I voted,Probably the rightful winner,Joe Biden,1951,69,65 - 74,Male,Married,Retired,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,2840,Rhode Island,High school diploma or the equivalent (GED),No,Black or African American,Yes,14
392075248,0.343013715567417,"I thought about voting this time, but didn't",Definitely the rightful winner,NA,1983,37,35 - 44,Female,Married,Full-time,"$200,000 - $249,999",Democrat,Strong Democrat,Gary Johnson,70119,Louisiana,High school diploma or the equivalent (GED),No,White,Yes,14
169659157,0.530979046148414,I am sure I voted,Definitely the rightful winner,Joe Biden,1955,65,65 - 74,Male,Married,Full-time,"$60,000 - $69,999",Independent,Lean Democrat,Did not vote for President,30032,Georgia,High school diploma or the equivalent (GED),No,Black or African American,Yes,14
53057476,1.34473664242842,I am sure I voted,Definitely not the rightful winner,Donald Trump,1948,72,65 - 74,Female,Married,Retired,"$30,000 - $39,999",Republican,Strong Republican,Donald Trump,74017,Oklahoma,Associate's degree,No,American Indian or Alaska Native,Yes,14
140921065,1.02127477164766,I am sure I voted,Probably not the rightful winner,Donald Trump,1958,62,55 - 64,Female,Married,Part-time,"$100,000 - $119,999",Independent,Independent,Donald Trump,55124,Minnesota,Bachelor's degree,No,Hispanic/Latino/Chicano/a,Yes,14
59250484,1.06518642648438,I am sure I voted,Definitely the rightful winner,Joe Biden,1949,71,65 - 74,Female,Divorced,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,31217,Georgia,Associate's degree,No,Black or African American,Yes,14
209412679,0.782827617767551,I am sure I voted,Definitely the rightful winner,Joe Biden,1986,34,25 - 34,Female,Never married,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Did not vote for President,10004,New York,Some college,No,Black or African American,Yes,14
191090590,0.414265188923688,I did not vote in the election this November,Definitely the rightful winner,NA,1978,42,35 - 44,Male,Married,Unemployed,"Less than $10,000",Democrat,Not very strong Democrat,Did not vote for President,48910,Michigan,Professional or doctorate degree,No,Black or African American,No,14
164137666,0.763887369631257,I am sure I voted,Definitely the rightful winner,Joe Biden,1952,68,65 - 74,Female,Married,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,97537,Oregon,High school diploma or the equivalent (GED),No,White,Yes,14
402007066,0.506257178671104,"I usually vote, but didn't this time",Definitely the rightful winner,NA,1954,66,65 - 74,Female,Widowed,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Gary Johnson,87121,New Mexico,High school diploma or the equivalent (GED),Yes,Hispanic/Latino/Chicano/a,Yes,14
49335289,0.993355434014861,I did not vote in the election this November,Probably not the rightful winner,NA,1956,64,55 - 64,Male,Married,Retired,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,92886,California,Some college,No,White,Yes,14
36526591,1.64403700604592,I am sure I voted,Definitely the rightful winner,Joe Biden,1980,40,35 - 44,Male,Never married,Full-time,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,8046,New Jersey,Some college,Yes,Hispanic/Latino/Chicano/a,Yes,14
124104592,1.46471285325808,I am sure I voted,Definitely not the rightful winner,Donald Trump,1944,76,75 - 84,Female,Widowed,Retired,"$20,000 - $29,999",Republican,Not very strong Republican,Donald Trump,28412,North Carolina,Some college,No,White,Yes,14
198987676,0.888161441532997,I am sure I voted,Definitely the rightful winner,Joe Biden,1944,76,75 - 84,Female,Married,Retired,"$100,000 - $119,999",Democrat,Strong Democrat,Hillary Clinton,99515,Alaska,Bachelor's degree,No,White,Yes,14
401408968,1.61382216021986,"I thought about voting this time, but didn't",Definitely the rightful winner,NA,1997,23,18 - 24,Female,Domestic / civil partnership,Part-time,"Less than $10,000",Republican,Not very strong Republican,Did not vote for President,60645,Illinois,Associate's degree,Yes,Hispanic/Latino/Chicano/a,No,14
188331709,1.89331148154863,I am sure I voted,Probably the rightful winner,Joe Biden,1968,52,45 - 54,Male,Separated,Student,"Less than $10,000",Not sure,Not sure,Did not vote for President,85706,Arizona,High school diploma or the equivalent (GED),Yes,Hispanic/Latino/Chicano/a,No,14
394020010,0.962659325633938,I did not vote in the election this November,Probably the rightful winner,NA,1988,32,25 - 34,Female,Married,Homemaker,"$70,000 - $79,999",Not sure,Not sure,Did not vote for President,77469,Alabama,Bachelor's degree,No,Asian/Pacific Islander,No,14
217132618,0.84165269308847,I did not vote in the election this November,Probably the rightful winner,NA,1991,29,25 - 34,Female,Married,Homemaker,"$30,000 - $39,999",Independent,Lean Republican,Did not vote for President,50266,Iowa,Bachelor's degree,No,Asian/Pacific Islander,No,14
205538413,0.841134927657281,I did not vote in the election this November,Definitely the rightful winner,NA,1991,29,25 - 34,Male,Never married,Full-time,"$20,000 - $29,999",Independent,Lean Democrat,Did not vote for President,61062,Illinois,Bachelor's degree,No,White,No,14
364367848,1.14978822298649,I did not vote in the election this November,Definitely the rightful winner,NA,1993,27,25 - 34,Female,Married,Unemployed,"Less than $10,000",Not sure,Not sure,Did not vote for President,24740,West Virginia,Did not graduate from high school,No,White,No,14
140881276,1.08677796498217,I am sure I voted,Definitely not the rightful winner,Donald Trump,1958,62,55 - 64,Male,Married,Full-time,"$50,000 - $59,999",Republican,Strong Republican,Donald Trump,19154,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,14
6591028,0.754435984975632,I am sure I voted,Definitely the rightful winner,Joe Biden,1981,39,35 - 44,Male,Married,Full-time,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,43612,Ohio,Professional or doctorate degree,No,White,Yes,14
158526868,0.899288343970425,I am sure I voted,Definitely the rightful winner,Joe Biden,1953,67,65 - 74,Female,Widowed,Full-time,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,52349,Iowa,Master's degree,No,White,Yes,14
46151017,0.923984393583797,I am sure I voted,Definitely the rightful winner,Joe Biden,1952,68,65 - 74,Female,Divorced,Part-time,"$10,000 - $19,999",Democrat,Not very strong Democrat,Hillary Clinton,15202,Pennsylvania,Some college,No,White,Yes,14
33254731,0.712500471139484,I am sure I voted,Definitely the rightful winner,Joe Biden,1989,31,25 - 34,Male,Married,Student,"$120,000 - $149,999",Independent,Independent,Hillary Clinton,77502,Texas,Professional or doctorate degree,No,Asian/Pacific Islander,Yes,14
126295867,0.644148233131316,I am sure I voted,Definitely the rightful winner,Joe Biden,1952,68,65 - 74,Male,Married,Retired,"$70,000 - $79,999",Democrat,Strong Democrat,Did not vote for President,85750-2353,Arizona,Bachelor's degree,No,White,Yes,14
136408213,1.15981884923921,I did not vote in the election this November,Definitely the rightful winner,NA,1955,65,65 - 74,Male,Married,Retired,"$20,000 - $29,999",Independent,Independent,Did not vote for President,79072,Texas,Some college,No,White,No,14
169544272,1.09194962198343,I am sure I voted,Definitely the rightful winner,Joe Biden,1991,29,25 - 34,Male,Never married,Unemployed,Prefer not to say,Independent,Independent,Did not vote for President,98439,Washington,High school diploma or the equivalent (GED),No,White,Yes,14
201791275,0.858440581565434,I am sure I voted,Definitely the rightful winner,Joe Biden,1959,61,55 - 64,Female,Divorced,Permanently disabled,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,53149,Wisconsin,Some college,No,Hispanic/Latino/Chicano/a,Yes,14
62525341,1.15591571045879,I am sure I voted,Probably not the rightful winner,Donald Trump,1950,70,65 - 74,Male,Married,Retired,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,53402,Wisconsin,High school diploma or the equivalent (GED),No,White,Yes,14
205807387,2.04124884311888,I am sure I voted,Definitely the rightful winner,Donald Trump,1996,24,18 - 24,Male,Never married,Full-time,"$40,000 - $49,999",Republican,Strong Republican,Did not vote for President,33025,Florida,High school diploma or the equivalent (GED),No,White,Yes,14
130763731,0.999116733513139,I am sure I voted,Definitely the rightful winner,Joe Biden,1948,72,65 - 74,Female,Never married,Retired,Prefer not to say,Democrat,Not very strong Democrat,Hillary Clinton,19122,Pennsylvania,High school diploma or the equivalent (GED),No,Black or African American,Yes,14
415896700,3.73929852016833,I did not vote in the election this November,Definitely the rightful winner,NA,1971,49,45 - 54,Male,Married,Part-time,"Less than $10,000",Independent,Lean Democrat,Did not vote for President,78245,Texas,High school diploma or the equivalent (GED),No,Hispanic/Latino/Chicano/a,No,14
401796028,1.18673191043034,I am sure I voted,Probably not the rightful winner,Donald Trump,1950,70,65 - 74,Female,Married,Retired,"$80,000 - $99,999",Republican,Strong Republican,Donald Trump,44050,Ohio,High school diploma or the equivalent (GED),No,White,Yes,14
216250582,2.31157464691913,"I thought about voting this time, but didn't",Definitely the rightful winner,NA,2001,19,18 - 24,Male,Never married,Temporarily laid off,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,32837,Florida,High school diploma or the equivalent (GED),No,Asian/Pacific Islander,Yes,14
170566630,0.17633952933139,I am sure I voted,Definitely the rightful winner,Someone else,1960,60,55 - 64,Male,Married,Full-time,"$40,000 - $49,999",Republican,Strong Republican,Other,61021,Illinois,Some college,No,White,Yes,14
50085793,0.845800844315575,I am sure I voted,Definitely the rightful winner,Joe Biden,1983,37,35 - 44,Female,Never married,Unemployed,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,60462,Illinois,Master's degree,No,Asian/Pacific Islander,Yes,14
37270408,0.668365210404213,I am sure I voted,Definitely the rightful winner,Joe Biden,1950,70,65 - 74,Female,Married,Retired,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,98664,Washington,Associate's degree,No,White,Yes,14
160308400,1.21172931435836,I am sure I voted,Definitely not the rightful winner,Donald Trump,1990,30,25 - 34,Male,Never married,Permanently disabled,"Less than $10,000",Independent,Lean Republican,Donald Trump,1854,Massachusetts,High school diploma or the equivalent (GED),No,White,Yes,14
144345304,1.24603019796595,I did not vote in the election this November,Probably the rightful winner,NA,1991,29,25 - 34,Male,Never married,Full-time,"$40,000 - $49,999",Democrat,Strong Democrat,Did not vote for President,91024,California,High school diploma or the equivalent (GED),No,White,Yes,14
199306930,1.04529424047384,I am sure I voted,Probably the rightful winner,Joe Biden,2001,19,18 - 24,Female,Never married,Unemployed,"Less than $10,000",Independent,Independent,Did not vote for President,20019,District of Columbia,High school diploma or the equivalent (GED),No,Black or African American,Yes,14
206509366,0.781262620048537,I am sure I voted,Definitely the rightful winner,Joe Biden,1979,41,35 - 44,Female,Widowed,Other,"$500,000 or more",Not sure,Not sure,Did not vote for President,32301,Florida,Professional or doctorate degree,No,Other,Yes,14
177490912,1.11543694078943,I am sure I voted,Probably not the rightful winner,Donald Trump,1978,42,35 - 44,Female,Married,Homemaker,"$60,000 - $69,999",Republican,Not very strong Republican,Did not vote for President,44028,Ohio,High school diploma or the equivalent (GED),No,White,Yes,14
55166818,1.8250638429629,I am sure I voted,Probably not the rightful winner,Donald Trump,1961,59,55 - 64,Female,Married,Temporarily laid off,"$70,000 - $79,999",Independent,Independent,Hillary Clinton,32708,Florida,Some college,No,White,Yes,14
343365460,1.00357810680181,"I usually vote, but didn't this time",Probably the rightful winner,NA,1980,40,35 - 44,Female,Never married,Retired,"$40,000 - $49,999",Democrat,Strong Democrat,Did not vote for President,69453,Illinois,Bachelor's degree,No,White,Yes,14
135470287,0.926441435006974,I did not vote in the election this November,Probably the rightful winner,NA,1970,50,45 - 54,Male,Married,Full-time,"$120,000 - $149,999",Republican,Strong Republican,Donald Trump,30004,Georgia,Bachelor's degree,No,White,Yes,14
48151129,1.10878568471968,I am sure I voted,Definitely not the rightful winner,Donald Trump,1955,65,65 - 74,Male,Never married,Retired,"$30,000 - $39,999",Independent,Lean Republican,Donald Trump,60410,Illinois,High school diploma or the equivalent (GED),No,White,Yes,14
125627374,0.858636434823035,I did not vote in the election this November,Definitely not the rightful winner,NA,1968,52,45 - 54,Female,Divorced,Permanently disabled,"Less than $10,000",Independent,Lean Republican,Did not vote for President,77303,Texas,Some college,No,White,No,14
309905620,1.01769930233878,I am sure I voted,Probably not the rightful winner,Donald Trump,1985,35,35 - 44,Male,Married,Full-time,Prefer not to say,Republican,Strong Republican,Did not vote for President,47401,Indiana,High school diploma or the equivalent (GED),No,White,Yes,14
378186496,0.430357226800487,I am sure I voted,Probably the rightful winner,Donald Trump,1974,46,45 - 54,Male,Married,Full-time,Prefer not to say,Other,Lean Republican,Evan McMullin,8816,New Jersey,High school diploma or the equivalent (GED),No,White,Yes,14
201109798,1.32961790700149,I am sure I voted,Definitely not the rightful winner,Donald Trump,1946,74,65 - 74,Female,Married,Retired,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,12524,New York,Some college,No,White,Yes,14
185804881,0.809086246956185,I did not vote in the election this November,Definitely not the rightful winner,NA,1985,35,35 - 44,Female,Married,Homemaker,"$10,000 - $19,999",Not sure,Lean Republican,Did not vote for President,72653,Arkansas,High school diploma or the equivalent (GED),No,White,Don't know,14
169831303,0.776585137674684,"I thought about voting this time, but didn't",Definitely not the rightful winner,NA,1966,54,45 - 54,Female,Married,Permanently disabled,"$70,000 - $79,999",Republican,Strong Republican,Did not vote for President,15851,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,14
138461608,0.801261032631692,I am sure I voted,Definitely the rightful winner,Joe Biden,1978,42,35 - 44,Male,Never married,Unemployed,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,94102,California,Some college,No,White,Yes,14
409064398,0.721260115779318,I am sure I voted,Definitely the rightful winner,Joe Biden,1979,41,35 - 44,Male,Never married,Unemployed,"$20,000 - $29,999",Democrat,Not very strong Democrat,Hillary Clinton,19148,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,14
151045861,1.10843366157781,I am sure I voted,Definitely not the rightful winner,Donald Trump,1954,66,65 - 74,Female,Married,Retired,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,85395,Arizona,Master's degree,No,White,Yes,14
140848342,1.63143331128306,I am sure I voted,Definitely not the rightful winner,Donald Trump,1957,63,55 - 64,Female,Married,Retired,"$40,000 - $49,999",Not sure,Independent,Did not vote for President,78577,Texas,Associate's degree,Yes,Hispanic/Latino/Chicano/a,Yes,14
209244877,1.18673191043034,I am sure I voted,Probably not the rightful winner,Donald Trump,1948,72,65 - 74,Female,Married,Retired,"$30,000 - $39,999",Independent,Independent,Donald Trump,65355,Missouri,High school diploma or the equivalent (GED),No,White,Yes,14
161616721,0.793746723057456,I am sure I voted,Definitely the rightful winner,Joe Biden,1993,27,25 - 34,Female,Domestic / civil partnership,Homemaker,Prefer not to say,Independent,Lean Democrat,Did not vote for President,87121,New Mexico,Bachelor's degree,No,White,Yes,14
366342832,0.843477253414609,I did not vote in the election this November,Probably the rightful winner,NA,1986,34,25 - 34,Female,Divorced,Permanently disabled,"Less than $10,000",Independent,Independent,Did not vote for President,63801,Missouri,High school diploma or the equivalent (GED),No,White,No,14
203110876,0.966941024514252,I am sure I voted,Definitely the rightful winner,Joe Biden,1950,70,65 - 74,Female,Domestic / civil partnership,Full-time,"$60,000 - $69,999",Democrat,Strong Democrat,Hillary Clinton,60628,Illinois,Some college,No,Black or African American,Yes,14
142180915,1.56975458799328,I am sure I voted,Definitely not the rightful winner,Donald Trump,1956,64,55 - 64,Female,Married,Retired,"$20,000 - $29,999",Republican,Strong Republican,Did not vote for President,34480,Florida,Some college,No,White,Yes,14
203970853,1.11421276857645,I am sure I voted,Definitely not the rightful winner,Donald Trump,2000,20,18 - 24,Female,Never married,Homemaker,"$20,000 - $29,999",Republican,Strong Republican,Did not vote for President,24651,Virginia,High school diploma or the equivalent (GED),No,White,Yes,14
188140102,1.16417938040219,I am sure I voted,Definitely the rightful winner,Joe Biden,1963,57,55 - 64,Female,Domestic / civil partnership,Full-time,"$10,000 - $19,999",Democrat,Strong Democrat,Did not vote for President,36613,Alabama,Bachelor's degree,No,Black or African American,Yes,14
317466670,1.43969943587364,I did not vote in the election this November,Definitely not the rightful winner,NA,1964,56,55 - 64,Male,Married,Full-time,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,87507,New Mexico,High school diploma or the equivalent (GED),Yes,Hispanic/Latino/Chicano/a,Yes,14
156729010,1.14830918751889,I am sure I voted,Definitely not the rightful winner,Donald Trump,1957,63,55 - 64,Male,Married,Retired,Prefer not to say,Independent,Independent,Donald Trump,37076,Tennessee,Bachelor's degree,Yes,White,Yes,14
132920446,0.590102248547713,I am sure I voted,Definitely the rightful winner,Joe Biden,1935,85,85 or older,Male,Married,Retired,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,60419,Illinois,High school diploma or the equivalent (GED),No,Black or African American,Yes,14
214826422,0.539750584377756,I am sure I voted,Definitely the rightful winner,Joe Biden,1979,41,35 - 44,Female,Married,Full-time,"$70,000 - $79,999",Independent,Independent,Hillary Clinton,80908,Colorado,Associate's degree,Yes,Hispanic/Latino/Chicano/a,Yes,14
140428609,1.14005574392563,I am sure I voted,Definitely the rightful winner,Joe Biden,1963,57,55 - 64,Male,Married,Unemployed,"$40,000 - $49,999",Independent,Lean Democrat,Hillary Clinton,31415,Georgia,Some college,No,Black or African American,Yes,14
421257934,0.975063597882693,I am sure I voted,Probably the rightful winner,Donald Trump,1979,41,35 - 44,Female,Divorced,Full-time,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,36613,Alabama,Some college,No,Asian/Pacific Islander,Yes,14
339908434,1.51281651079576,I did not vote in the election this November,Definitely the rightful winner,NA,1992,28,25 - 34,Female,Married,Homemaker,"Less than $10,000",Independent,Independent,Did not vote for President,76112,Texas,High school diploma or the equivalent (GED),Yes,Hispanic/Latino/Chicano/a,No,14
123007048,0.961780694935152,I am sure I voted,Definitely not the rightful winner,Donald Trump,1948,72,65 - 74,Female,Married,Retired,"$50,000 - $59,999",Republican,Strong Republican,Donald Trump,97535,Oregon,Some college,No,White,Yes,14
36521863,1.10878568471968,I am sure I voted,Probably not the rightful winner,Donald Trump,1954,66,65 - 74,Male,Married,Retired,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,11234,New York,High school diploma or the equivalent (GED),No,White,Yes,14
214600936,0.657598398637343,I am sure I voted,Definitely the rightful winner,Joe Biden,2001,19,18 - 24,Female,Never married,Student,Prefer not to say,Democrat,Strong Democrat,Did not vote for President,2472,Massachusetts,Some college,No,White,Yes,14
195555238,1.17328061637993,I am sure I voted,Probably the rightful winner,Donald Trump,1964,56,55 - 64,Male,Married,Full-time,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,16127,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,14
308466880,0.737328965333164,I did not vote in the election this November,Definitely the rightful winner,NA,1986,34,25 - 34,Female,Never married,Part-time,Prefer not to say,Independent,Independent,Did not vote for President,73069,Oklahoma,Some college,No,White,Yes,14
51939646,0.79588202081345,I am sure I voted,Definitely the rightful winner,Joe Biden,1960,60,55 - 64,Male,Married,Full-time,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,43215,Ohio,Master's degree,No,White,Yes,14
33267208,0.803274437820169,I am sure I voted,Definitely the rightful winner,Joe Biden,1937,83,75 - 84,Male,Widowed,Retired,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,21782,Maryland,High school diploma or the equivalent (GED),No,White,Yes,14
211421077,1.30709022087712,I am sure I voted,Definitely not the rightful winner,Donald Trump,1976,44,35 - 44,Female,Married,Homemaker,"$60,000 - $69,999",Independent,Lean Republican,Donald Trump,17980,Pennsylvania,Professional or doctorate degree,No,Other,Yes,14
143265442,0.381838593086265,I am sure I voted,Definitely the rightful winner,Joe Biden,1979,41,35 - 44,Male,Married,Full-time,"$100,000 - $119,999",Independent,Independent,Evan McMullin,60640,Illinois,Bachelor's degree,No,White,Yes,14
200672899,0.916850845069045,I am sure I voted,Definitely the rightful winner,Joe Biden,1981,39,35 - 44,Male,Married,Full-time,"$70,000 - $79,999",Independent,Not sure,Did not vote for President,34689,Florida,Associate's degree,No,White,Yes,14
340756744,2.07479334870363,I am sure I voted,Definitely the rightful winner,Joe Biden,1958,62,55 - 64,Female,Divorced,Retired,"$50,000 - $59,999",Democrat,Strong Democrat,Did not vote for President,10001,New York,Master's degree,No,Hispanic/Latino/Chicano/a,Yes,14
131522053,1.17328061637993,I am sure I voted,Definitely not the rightful winner,Donald Trump,1962,58,55 - 64,Male,Divorced,Permanently disabled,"Less than $10,000",Independent,Independent,Donald Trump,23451,Virginia,High school diploma or the equivalent (GED),Yes,White,Yes,14
186026557,3.54376832262382,"I thought about voting this time, but didn't",Probably the rightful winner,NA,1980,40,35 - 44,Male,Never married,Full-time,"Less than $10,000",Independent,Independent,Did not vote for President,23669,Virginia,High school diploma or the equivalent (GED),Yes,American Indian or Alaska Native,Yes,14
